physical_id,block_name,primary_street,addr_low,addr_high,name_source,notes,boro,cd,streets,review_reason
90690,0-0 BARRETT AVENUE,BARRETT AVENUE,0,0,auto,NA,2,209,BARRETT AVENUE,single_address
90691,0-0 BARRETT AVENUE,BARRETT AVENUE,0,0,auto,NA,2,209,BARRETT AVENUE,single_address
90696,0-0 SEAVER AVENUE,SEAVER AVENUE,0,0,auto,NA,5,502,SEAVER AVENUE,single_address
90697,0-0 CALAMUS CIRCLE,CALAMUS CIRCLE,0,0,auto,NA,4,404,CALAMUS CIRCLE,single_address
90698,0-74027 CALAMUS CIRCLE,CALAMUS CIRCLE,0,74027,auto,NA,4,404,CALAMUS CIRCLE,large_address_span
90699,0-74055 CALAMUS CIRCLE,CALAMUS CIRCLE,0,74055,auto,NA,4,404,CALAMUS CIRCLE,large_address_span
90707,0-0 SOUTH 9 STREET,SOUTH 9 STREET,0,0,auto,NA,3,301,SOUTH 9 STREET,single_address
90715,0-0 63 STREET,63 STREET,0,0,auto,NA,3,307,63 STREET,single_address
90717,0-0 ACADEMY PARK PLACE,ACADEMY PARK PLACE,0,0,auto,NA,3,302,ACADEMY PARK PLACE,single_address
90718,0-0 CHAUNCEY AVENUE,CHAUNCEY AVENUE,0,0,auto,NA,3,302,CHAUNCEY AVENUE,single_address
90732,0-0 172 STREET,172 STREET,0,0,auto,NA,4,412,172 STREET,single_address
90733,137000-139099 172 STREET,172 STREET,137000,139099,auto,NA,4,412,172 STREET,large_address_span
90735,0-0 WEST 114 STREET,WEST 114 STREET,0,0,auto,NA,1,109,WEST 114 STREET,single_address
90738,0-0 WEST 114 STREET,WEST 114 STREET,0,0,auto,NA,1,109,WEST 114 STREET,single_address
90739,0-0 WEST 114 STREET,WEST 114 STREET,0,0,auto,NA,1,109,WEST 114 STREET,single_address
90748,0-1468 ERICSON PLACE,ERICSON PLACE,0,1468,auto,NA,2,210,ERICSON PLACE,large_address_span
90750,0-0 UNNAMED STREET,UNNAMED STREET,0,0,auto,NA,2,208,UNNAMED STREET,single_address
90751,0-0 UNNAMED STREET,UNNAMED STREET,0,0,auto,NA,2,208,UNNAMED STREET,single_address
90780,0-0 METCALF AVENUE,METCALF AVENUE,0,0,auto,NA,2,209,METCALF AVENUE,single_address
90782,0-0 HOBART AVENUE,HOBART AVENUE,0,0,auto,NA,2,210,HOBART AVENUE,single_address
90783,0-1833 HOBART AVENUE,HOBART AVENUE,0,1833,auto,NA,2,210,HOBART AVENUE,large_address_span
90789,0-0 HOBART AVENUE,HOBART AVENUE,0,0,auto,NA,2,210,HOBART AVENUE,single_address
90791,0-1699 HOBART AVENUE,HOBART AVENUE,0,1699,auto,NA,2,210,HOBART AVENUE,large_address_span
90801,0-0 213 STREET,213 STREET,0,0,auto,NA,4,411,213 STREET,single_address
90803,0-0 213 STREET,213 STREET,0,0,auto,NA,4,411,213 STREET,single_address
90804,0-0 187 PLACE,187 PLACE,0,0,auto,NA,4,412,187 PLACE,single_address
90809,0-0 187 PLACE,187 PLACE,0,0,auto,NA,4,412,187 PLACE,single_address
90813,0-117098 166 STREET,166 STREET,0,117098,auto,NA,4,412,166 STREET,large_address_span
90814,0-0 166 STREET,166 STREET,0,0,auto,NA,4,412,166 STREET,single_address
90819,0-0 270 STREET,270 STREET,0,0,auto,NA,4,413,270 STREET,single_address
90822,0-0 GRANDVIEW PLACE,GRANDVIEW PLACE,0,0,auto,NA,2,204,GRANDVIEW PLACE,single_address
90824,0-0 GRANDVIEW PLACE,GRANDVIEW PLACE,0,0,auto,NA,2,204,GRANDVIEW PLACE,single_address
90828,0-0 169 STREET,169 STREET,0,0,auto,NA,4,412,169 STREET,single_address
90829,137000-139099 169 STREET,169 STREET,137000,139099,auto,NA,4,412,169 STREET,large_address_span
90830,140000-143099 169 STREET,169 STREET,140000,143099,auto,NA,4,412,169 STREET,large_address_span
90838,0-0 NORTH SHORE TOWER DRIVEWAY,NORTH SHORE TOWER DRIVEWAY,0,0,auto,NA,4,413,NORTH SHORE TOWER DRIVEWAY,single_address
90878,0-0 ROPES AVENUE,ROPES AVENUE,0,0,auto,NA,2,212,ROPES AVENUE,single_address
90879,0-0 HENRY ROAD,HENRY ROAD,0,0,auto,NA,4,414,HENRY ROAD,single_address
90883,0-0 WEST 130 STREET,WEST 130 STREET,0,0,auto,NA,1,110,WEST 130 STREET,single_address
90885,0-0 WEST 130 STREET,WEST 130 STREET,0,0,auto,NA,1,110,WEST 130 STREET,single_address
90895,0-0 EAST 132 STREET,EAST 132 STREET,0,0,auto,NA,2,201,EAST 132 STREET,single_address
90897,0-773 EAST 132 STREET,EAST 132 STREET,0,773,auto,NA,2,201,EAST 132 STREET,large_address_span
90899,0-0 EAST 132 STREET,EAST 132 STREET,0,0,auto,NA,2,201,EAST 132 STREET,single_address
90900,0-879 EAST 132 STREET,EAST 132 STREET,0,879,auto,NA,2,201,EAST 132 STREET,large_address_span
90916,0-0 EAST 192 STREET,EAST 192 STREET,0,0,auto,NA,2,207,EAST 192 STREET,single_address
90917,0-0 EAST 192 STREET,EAST 192 STREET,0,0,auto,NA,2,207,EAST 192 STREET,single_address
90926,0-0 LANGSTON AVENUE,LANGSTON AVENUE,0,0,auto,NA,4,413,LANGSTON AVENUE,single_address
90928,261000-263099 LANGSTON AVENUE,LANGSTON AVENUE,261000,263099,auto,NA,4,413,LANGSTON AVENUE,large_address_span
90942,0-0 BRONX SHORE ROAD,BRONX SHORE ROAD,0,0,auto,NA,1,111,BRONX SHORE ROAD,single_address
90949,0-0 30 PLACE,30 PLACE,0,0,auto,NA,4,402,30 PLACE,single_address
90950,0-0 30 PLACE,30 PLACE,0,0,auto,NA,4,402,30 PLACE,single_address
90954,45000-46099 30 PLACE,30 PLACE,45000,46099,auto,NA,4,402,30 PLACE,large_address_span
90955,0-0 30 PLACE,30 PLACE,0,0,auto,NA,4,402,30 PLACE,single_address
90958,0-147026 JOHNSON LANE,JOHNSON LANE,0,147026,auto,NA,4,413,JOHNSON LANE,large_address_span
90963,0-0 110 STREET,110 STREET,0,0,auto,NA,4,403,110 STREET,single_address
90965,34000-36099 110 STREET,110 STREET,34000,36099,auto,NA,4,403,110 STREET,large_address_span
90970,0-0 77 ROAD,77 ROAD,0,0,auto,NA,4,408,77 ROAD,single_address
90989,0-0 67 AVENUE,67 AVENUE,0,0,auto,NA,4,411,67 AVENUE,single_address
90993,219000-220099 67 AVENUE,67 AVENUE,219000,220099,auto,NA,4,411,67 AVENUE,large_address_span
90994,0-0 ROCKAWAY BEACH DRIVE,ROCKAWAY BEACH DRIVE,0,0,auto,NA,4,414,ROCKAWAY BEACH DRIVE,single_address
90996,0-0 INDEPENDENCE AVENUE,INDEPENDENCE AVENUE,0,0,auto,NA,5,502,INDEPENDENCE AVENUE,single_address
91021,0-576 CORYN COURT,CORYN COURT,0,576,auto,NA,5,503,CORYN COURT,large_address_span
91023,0-0 5 STREET,5 STREET,0,0,auto,NA,3,306,5 STREET,single_address
91028,0-612 5 STREET,5 STREET,0,612,auto,NA,3,306,5 STREET,large_address_span
91031,0-1999 HONE AVENUE,HONE AVENUE,0,1999,auto,NA,2,211,HONE AVENUE,large_address_span
91036,0-0 HONE AVENUE,HONE AVENUE,0,0,auto,NA,2,211,HONE AVENUE,single_address
91038,61000-63099 183 STREET,183 STREET,61000,63099,auto,NA,4,408,183 STREET,large_address_span
91039,0-0 183 STREET,183 STREET,0,0,auto,NA,4,408,183 STREET,single_address
91041,65000-66099 183 STREET,183 STREET,65000,66099,auto,NA,4,408,183 STREET,large_address_span
